power.draw [W]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
[Not Supported]
